accumulo,686
activemq,951
ambari,2976
avro,222
beam,2827
calcite,587
camel,3595
cassandra,1496
commons-lang,477
cordova-android,111
cxf,2989
eagle,165
fineract,51
flink,2118
geode,907
groovy,389
hive,3190
ignite,2283
james-project,1425
jena,677
kafka,1206
karaf,546
kylin,958
lucene-solr,3579
mahout,0
maven,467
netbeans,112
nifi,774
nutch,363
ofbiz,35
parquet-mr,87
phoenix,688
servicecomb-java-chassis,354
spark,1293
storm,369
struts,590
tika,929
wicket,1085
zeppelin,286
